frame,tiempo_s,x_metros,y_metros,velocidad_x_ms,velocidad_y_ms,aceleracion_x_ms2,aceleracion_y_ms2,calidad_deteccion,velocidad_total_ms,energia_cinetica_relativa,energia_potencial_relativa
0,0.0000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
1,0.0333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
2,0.0667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
3,0.1000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
4,0.1333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
5,0.1667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
6,0.2000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
7,0.2333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
8,0.2667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
9,0.3000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
10,0.3333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
11,0.3667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
12,0.4000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
13,0.4333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
14,0.4667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
15,0.5000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
16,0.5333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
17,0.5667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
18,0.6000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
19,0.6333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
20,0.6667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
21,0.7000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
22,0.7333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
23,0.7667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
24,0.8000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
25,0.8333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
26,0.8667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
27,0.9000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
28,0.9333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
29,0.9667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
30,1.0000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
31,1.0333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
32,1.0667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
33,1.1000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
34,1.1333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
35,1.1667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
36,1.2000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
37,1.2333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
38,1.2667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
39,1.3000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
40,1.3333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
41,1.3667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
42,1.4000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
43,1.4333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
44,1.4667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
45,1.5000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
46,1.5333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
47,1.5667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
48,1.6000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
49,1.6333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
50,1.6667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
51,1.7000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
52,1.7333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
53,1.7667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
54,1.8000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
55,1.8333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
56,1.8667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
57,1.9000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
58,1.9333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
59,1.9667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
60,2.0000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
61,2.0333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
62,2.0667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
63,2.1000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
64,2.1333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
65,2.1667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
66,2.2000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
67,2.2333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
68,2.2667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
69,2.3000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
70,2.3333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
71,2.3667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
72,2.4000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
73,2.4333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
74,2.4667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
75,2.5000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
76,2.5333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
77,2.5667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
78,2.6000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
79,2.6333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
80,2.6667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
81,2.7000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
82,2.7333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
83,2.7667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
84,2.8000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
85,2.8333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
86,2.8667,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
87,2.9000,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
88,2.9333,1.2792,-0.9057,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-8.8845
89,2.9667,1.2792,-0.9057,0.0000,0.0000,0.0000,-0.0001,1.0000,0.0000,0.0000,-8.8845
90,3.0000,1.2792,-0.9057,0.0000,-0.0000,0.0000,-0.0039,1.0000,0.0000,0.0000,-8.8845
91,3.0333,1.2792,-0.9057,0.0000,-0.0003,0.0000,-0.0495,1.0000,0.0003,0.0000,-8.8845
92,3.0667,1.2792,-0.9057,0.0000,-0.0033,0.0000,-0.2474,1.0000,0.0033,0.0000,-8.8845
93,3.1000,1.2792,-0.9057,0.0000,-0.0168,0.0000,-0.4946,1.0000,0.0168,0.0001,-8.8845
94,3.1333,1.2792,-0.9057,0.0000,-0.0363,0.0000,-0.2929,1.0000,0.0363,0.0007,-8.8845
95,3.1667,1.2792,-0.9094,0.0000,-0.0363,0.0000,0.2929,1.0000,0.0363,0.0007,-8.9215
